model,accuracy,macro_f1,precision,recall,qwk,params
ResNet50,0.7188612099644128,0.6552546291685111,0.6479895970503604,0.667848565982698,0.8087447789008287,23516228
EfficientNet-B4,0.7330960854092526,0.6302843325882542,0.6520943781339348,0.6136977381384892,0.8033074079028193,17555788
ViT,0.6132858837485172,0.4346460618259162,0.4672057621897957,0.425984527777339,0.40512513290294405,85801732
