epoch,train_loss,val_acc,val_loss
1,0.4143870303985871,0.9755877034358047,0.09820360932532853
2,0.10310740675416499,0.9801084990958409,0.07182163425517449
3,0.046500981014184394,0.9837251356238698,0.05860974845117729
4,0.026552537907748884,0.9810126582278481,0.07078079756047867
5,0.018526431851153567,0.9810126582278481,0.13341341437106685
6,0.014662898439224333,0.9828209764918626,0.06396777786050921
7,0.012914330529021625,0.984629294755877,0.1185027089961055
8,0.012551707112357327,0.9810126582278481,0.08994643758428973
9,0.009143211322639637,0.9828209764918626,0.16668990313445306
10,0.010330409665702388,0.9855334538878843,0.07185570178217689
11,0.008900064470045887,0.9855334538878843,0.06404941194775707
12,0.006153032887684821,0.984629294755877,0.0623454562170266
13,0.004089735650531745,0.9864376130198915,0.06890572105449852
14,0.003686641026244987,0.9864376130198915,0.0616418352659209
15,0.0031509617794237277,0.9828209764918626,0.0723463365159727
16,0.004305379046091131,0.9864376130198915,0.05143969945814191
17,0.003020908461348388,0.9864376130198915,0.05694432182030023
18,0.00286744983677805,0.9873417721518988,0.0643007439984355
19,0.0038886644136168548,0.9819168173598554,0.05736776337639467
20,0.001760556197369588,0.9819168173598554,0.059918897701475494
21,0.0015704209817462332,0.9801084990958409,0.07227949390430012
22,0.0018942571720534014,0.9864376130198915,0.054737761676158694
23,0.0013124705699873378,0.9864376130198915,0.05920792877257071
24,0.004998404073862952,0.9828209764918626,0.06429503268442816
25,0.003774844081156204,0.9810126582278481,0.062266979224899856
26,0.0024528919866053916,0.9855334538878843,0.060308605040526174
27,0.0011812042903766495,0.984629294755877,0.0570433168356653
28,0.0013006650413495454,0.984629294755877,0.07624871110750044
